ds,y
17-05-1996,11.42
24-05-1996,11.26
31-05-1996,11.21
07-06-1996,11.58
14-06-1996,11.67
21-06-1996,12.03
28-06-1996,12.43
05-07-1996,11.39
12-07-1996,11.77
19-07-1996,11.65
26-07-1996,11.9
02-08-1996,11.71
09-08-1996,11.48
16-08-1996,11.64
23-08-1996,11.85
30-08-1996,11.78
06-09-1996,12
13-09-1996,11.64
20-09-1996,11.19
27-09-1996,11.04
04-10-1996,10.93
11-10-1996,10.81
18-10-1996,10.64
25-10-1996,10.7
01-11-1996,10.36
08-11-1996,10.53
15-11-1996,10.35
22-11-1996,10.65
29-11-1996,10.66
06-12-1996,10.4
13-12-1996,10.73
20-12-1996,10.69
27-12-1996,10.89
03-01-1997,11.08
10-01-1997,10.64
17-01-1997,10.52
24-01-1997,10.24
31-01-1997,10.45
07-02-1997,10.6
14-02-1997,10.78
21-02-1997,11.18
28-02-1997,11.32
07-03-1997,10.97
14-03-1997,10.9
21-03-1997,10.83
28-03-1997,10.81
04-04-1997,11
11-04-1997,11.33
18-04-1997,11.29
25-04-1997,11.55
02-05-1997,10.8
09-05-1997,10.88
16-05-1997,10.97
23-05-1997,11.11
30-05-1997,11.17
06-06-1997,11.45
13-06-1997,11.42
20-06-1997,11.06
27-06-1997,10.92
